HOT, 2014-10-28, 0.613550
PCL, 2014-10-28, 0.524062
UPS, 2014-10-28, 0.613065
IR, 2014-10-28, 0.569570
TMK, 2014-10-28, 0.562022
ALXN, 2014-10-28, 0.622591
RRC, 2014-10-28, 0.565919
VTR, 2014-10-28, 0.480588
BRCM, 2014-10-28, 0.533100
SNDK, 2014-10-28, 0.533578
CCE, 2014-10-28, 0.547571
PEG, 2014-10-28, 0.581367
MCK, 2014-10-28, 0.581172
QEP, 2014-10-28, 0.587832
CHRW, 2014-10-28, 0.576413
CCI, 2014-10-28, 0.587901
TEG, 2014-10-28, 0.541574
WM, 2014-10-28, 0.544157
EIX, 2014-10-28, 0.599255
EL, 2014-10-28, 0.528969
FISV, 2014-10-28, 0.540128
BWA, 2014-10-28, 0.593980
HES, 2014-10-28, 0.577187
CERN, 2014-10-28, 0.595355
HCN, 2014-10-28, 0.495780
CSX, 2014-10-28, 0.550136
UNM, 2014-10-28, 0.548879
AON, 2014-10-28, 0.557305
TAP, 2014-10-28, 0.577588
MMM, 2014-10-28, 0.584687
BHI, 2014-10-28, 0.605750
FTR, 2014-10-28, 0.525066
TSS, 2014-10-28, 0.528004
AMG, 2014-10-28, 0.552022
GIS, 2014-10-28, 0.549380
DTV, 2014-10-28, 0.607976
CVS, 2014-10-28, 0.552320
CMS, 2014-10-28, 0.558247
NTRS, 2014-10-28, 0.605603
TE, 2014-10-28, 0.548623
CB, 2014-10-28, 0.551018
HOG, 2014-10-28, 0.592215
STJ, 2014-10-28, 0.540947
CFN, 2014-10-28, 0.535225
RDC, 2014-10-28, 0.552096
IPG, 2014-10-28, 0.558050
MAT, 2014-10-28, 0.434996
PNW, 2014-10-28, 0.607482
MRK, 2014-10-28, 0.637517
WAG, 2014-10-28, 0.500795
DGX, 2014-10-28, 0.496966
DNB, 2014-10-28, 0.514576
D, 2014-10-28, 0.581629
ESV, 2014-10-28, 0.567565
MCD, 2014-10-28, 0.530809
SJM, 2014-10-28, 0.553209
FDX, 2014-10-28, 0.565849
UNH, 2014-10-28, 0.596827
NSC, 2014-10-28, 0.574167
EQT, 2014-10-28, 0.579628
WEC, 2014-10-28, 0.571982
PX, 2014-10-28, 0.616217
NU, 2014-10-28, 0.569895
BF-B, 2014-10-28, 0.522638
MU, 2014-10-28, 0.540905
CHK, 2014-10-28, 0.547434
SRCL, 2014-10-28, 0.527260
FOXA, 2014-10-28, 0.532276
VNO, 2014-10-28, 0.508348
XRAY, 2014-10-28, 0.510809
CVC, 2014-10-28, 0.536499
PPG, 2014-10-28, 0.603583
MAR, 2014-10-28, 0.609127
KSS, 2014-10-28, 0.520346
TYC, 2014-10-28, 0.588816
SYMC, 2014-10-28, 0.512334
FMC, 2014-10-28, 0.679146
BEN, 2014-10-28, 0.538329
APC, 2014-10-28, 0.605446
HRB, 2014-10-28, 0.542122
TWC, 2014-10-28, 0.624175
AMZN, 2014-10-28, 0.493493
CAT, 2014-10-28, 0.541833
BXP, 2014-10-28, 0.520726
WMT, 2014-10-28, 0.494833
WHR, 2014-10-28, 0.577389
ZION, 2014-10-28, 0.544585
DD, 2014-10-28, 0.565204
ETFC, 2014-10-28, 0.578822
HUM, 2014-10-28, 0.576706
PCP, 2014-10-28, 0.622226
NUE, 2014-10-28, 0.566382
FSLR, 2014-10-28, 0.547414
DLTR, 2014-10-28, 0.580340
ISRG, 2014-10-28, 0.568421
MDT, 2014-10-28, 0.571241
CAM, 2014-10-28, 0.563400
WFC, 2014-10-28, 0.567861
AFL, 2014-10-28, 0.549626
AIZ, 2014-10-28, 0.560743
JOY, 2014-10-28, 0.583106
PCLN, 2014-10-28, 0.571359
COV, 2014-10-28, 0.540337
SWN, 2014-10-28, 0.572056
APH, 2014-10-28, 0.575659
COP, 2014-10-28, 0.580016
PDCO, 2014-10-28, 0.568719
MYL, 2014-10-28, 0.622908
NLSN, 2014-10-28, 0.600507
DVA, 2014-10-28, 0.538945
K, 2014-10-28, 0.533536
ETN, 2014-10-28, 0.593769
VRSN, 2014-10-28, 0.539913
GOOGL, 2014-10-28, 0.508679
V, 2014-10-28, 0.527111
LB, 2014-10-28, 0.598339
FOSL, 2014-10-28, 0.529157
URI, 2014-10-28, 0.568737
EMC, 2014-10-28, 0.557629
THC, 2014-10-28, 0.540696
VAR, 2014-10-28, 0.580099
MJN, 2014-10-28, 0.546600
NKE, 2014-10-28, 0.530649
SPLS, 2014-10-28, 0.512884
JPM, 2014-10-28, 0.572080
WIN, 2014-10-28, 0.533114
CBS, 2014-10-28, 0.620867
CTAS, 2014-10-28, 0.589145
STI, 2014-10-28, 0.572680
TIF, 2014-10-28, 0.537580
BBY, 2014-10-28, 0.479439
GME, 2014-10-28, 0.483059
FTI, 2014-10-28, 0.641450
AVP, 2014-10-28, 0.487333
CSC, 2014-10-28, 0.528977
IRM, 2014-10-28, 0.502289
WMB, 2014-10-28, 0.635075
ROP, 2014-10-28, 0.587995
XOM, 2014-10-28, 0.520602
DHI, 2014-10-28, 0.534604
KRFT, 2014-10-28, 0.514537
FB, 2014-10-28, 0.561985
BAC, 2014-10-28, 0.549476
SE, 2014-10-28, 0.571000
CVX, 2014-10-28, 0.551273
BLL, 2014-10-28, 0.606783
HPQ, 2014-10-28, 0.574267
NVDA, 2014-10-28, 0.514360
AEE, 2014-10-28, 0.559516
DO, 2014-10-28, 0.550781
XEL, 2014-10-28, 0.564999
MPC, 2014-10-28, 0.586992
GCI, 2014-10-28, 0.592135
LUV, 2014-10-28, 0.612265
GE, 2014-10-28, 0.585390
ICE, 2014-10-28, 0.575600
ROST, 2014-10-28, 0.542562
DRI, 2014-10-28, 0.569081
FAST, 2014-10-28, 0.551812
AES, 2014-10-28, 0.588671
DOW, 2014-10-28, 0.571584
KMB, 2014-10-28, 0.524717
BMS, 2014-10-28, 0.578266
SYY, 2014-10-28, 0.538894
KORS, 2014-10-28, 0.474965
TSCO, 2014-10-28, 0.490889
HSP, 2014-10-28, 0.526784
GWW, 2014-10-28, 0.598498
SHW, 2014-10-28, 0.627078
WYNN, 2014-10-28, 0.561781
COST, 2014-10-28, 0.522423
ESS, 2014-10-28, 0.510820
NDAQ, 2014-10-28, 0.534298
EMN, 2014-10-28, 0.573232
WDC, 2014-10-28, 0.631418
M, 2014-10-28, 0.543547
LH, 2014-10-28, 0.512139
PRU, 2014-10-28, 0.589383
BLK, 2014-10-28, 0.602242
CMCSA, 2014-10-28, 0.594033
JNPR, 2014-10-28, 0.555930
GNW, 2014-10-28, 0.546438
FLIR, 2014-10-28, 0.486212
CTSH, 2014-10-28, 0.498656
HAS, 2014-10-28, 0.513332
RHT, 2014-10-28, 0.530923
RTN, 2014-10-28, 0.517783
ATI, 2014-10-28, 0.559093
MS, 2014-10-28, 0.555501
GRMN, 2014-10-28, 0.485069
FIS, 2014-10-28, 0.524712
XEC, 2014-10-28, 0.566060
AEP, 2014-10-28, 0.604078
DISCA, 2014-10-28, 0.493849
AN, 2014-10-28, 0.585039
LUK, 2014-10-28, 0.561420
DE, 2014-10-28, 0.472592
EA, 2014-10-28, 0.559814
LM, 2014-10-28, 0.645247
CINF, 2014-10-28, 0.527323
ABC, 2014-10-28, 0.549751
NFX, 2014-10-28, 0.522001
ADSK, 2014-10-28, 0.587267
RHI, 2014-10-28, 0.563982
ADM, 2014-10-28, 0.547851
SBUX, 2014-10-28, 0.546677
CELG, 2014-10-28, 0.559299
CLX, 2014-10-28, 0.511128
TDC, 2014-10-28, 0.605078
CL, 2014-10-28, 0.493625
DVN, 2014-10-28, 0.574426
EXPE, 2014-10-28, 0.528148
VMC, 2014-10-28, 0.617854
HSY, 2014-10-28, 0.536917
A, 2014-10-28, 0.589170
POM, 2014-10-28, 0.521639
QCOM, 2014-10-28, 0.512567
PFE, 2014-10-28, 0.574602
MNST, 2014-10-28, 0.568641
NOC, 2014-10-28, 0.542205
INTC, 2014-10-28, 0.565382
NTAP, 2014-10-28, 0.583807
F, 2014-10-28, 0.511385
SLB, 2014-10-28, 0.603169
NFLX, 2014-10-28, 0.521465
YUM, 2014-10-28, 0.578039
AIG, 2014-10-28, 0.571647
MLM, 2014-10-28, 0.653624
HRS, 2014-10-28, 0.538339
KMX, 2014-10-28, 0.570963
LOW, 2014-10-28, 0.545447
CTL, 2014-10-28, 0.543141
SCHW, 2014-10-28, 0.563515
TXN, 2014-10-28, 0.555977
BDX, 2014-10-28, 0.501385
RL, 2014-10-28, 0.545863
AVB, 2014-10-28, 0.535792
MA, 2014-10-28, 0.468392
C, 2014-10-28, 0.542923
CMG, 2014-10-28, 0.499661
HD, 2014-10-28, 0.526624
AMGN, 2014-10-28, 0.614450
KSU, 2014-10-28, 0.502465
HIG, 2014-10-28, 0.539794
IVZ, 2014-10-28, 0.601535
MAC, 2014-10-28, 0.500704
FDO, 2014-10-28, 0.542521
MSI, 2014-10-28, 0.572977
CNP, 2014-10-28, 0.579458
VZ, 2014-10-28, 0.547577
AXP, 2014-10-28, 0.614078
BCR, 2014-10-28, 0.521789
INTU, 2014-10-28, 0.550883
CME, 2014-10-28, 0.492688
VIAB, 2014-10-28, 0.579324
PRGO, 2014-10-28, 0.558242
MKC, 2014-10-28, 0.526935
AGN, 2014-10-28, 0.619924
VLO, 2014-10-28, 0.585325
MHK, 2014-10-28, 0.582395
NEM, 2014-10-28, 0.536176
AZO, 2014-10-28, 0.494547
DNR, 2014-10-28, 0.580754
DLPH, 2014-10-28, 0.584239
JCI, 2014-10-28, 0.562933
IFF, 2014-10-28, 0.542386
BA, 2014-10-28, 0.583265
EMR, 2014-10-28, 0.541600
